ID,模块,子模块/页面,角色,前置条件,用例标题,输入/操作,期望结果,等级,类型,关联接口/组件,备注
DEV_API_001,设备管理,设备列表,门店店长,已登录，门店有设备数据,获取设备列表-正常流程,GET /device/list?pageNum=1&pageSize=10,返回200，data包含设备列表，分页信息正确,P0,功能,DeviceController#getDeviceList,
DEV_API_002,设备管理,设备列表,门店店长,已登录,获取设备列表-分页参数校验,GET /device/list?pageNum=0&pageSize=0,返回400，提示分页参数无效,P1,边界,DeviceController#getDeviceList,
DEV_API_003,设备管理,设备列表,未登录用户,未登录状态,获取设备列表-权限校验,GET /device/list,返回401，提示未授权访问,P0,权限,DeviceController#getDeviceList,
DEV_API_004,设备管理,设备列表,门店店长,已登录,获取设备列表-筛选功能,GET /device/list?deviceType=招牌灯&status=online,返回200，只包含在线招牌灯设备,P1,功能,DeviceController#getDeviceList,
DEV_API_005,设备管理,设备列表,门店店长,已登录，大量设备数据,获取设备列表-性能测试,GET /device/list?pageSize=1000,3秒内返回结果，数据完整,P2,性能,DeviceController#getDeviceList,
DEV_API_006,设备管理,设备列表,门店店长,已登录,获取设备列表-排序功能,GET /device/list?sortBy=createTime&sortOrder=desc,返回200，按创建时间倒序排列,P1,功能,DeviceController#getDeviceList,
DEV_API_007,设备管理,设备列表,门店店长,已登录,获取设备列表-多条件筛选,GET /device/list?deviceType=空调&status=online&storeId=STORE001,返回200，同时满足多个筛选条件,P1,功能,DeviceController#getDeviceList,
DEV_API_008,设备管理,设备列表,门店店长,已登录,获取设备列表-时间范围筛选,GET /device/list?startDate=2024-01-01&endDate=2024-01-31,返回200，只包含指定时间范围内的设备,P1,功能,DeviceController#getDeviceList,
DEV_API_009,设备管理,设备列表,门店店长,已登录,获取设备列表-关键词搜索,GET /device/list?keyword=测试设备,返回200，包含关键词匹配的设备,P1,功能,DeviceController#getDeviceList,
DEV_API_010,设备管理,设备列表,门店店长,已登录，无设备数据,获取设备列表-空数据,GET /device/list,返回200，data为空数组，total为0,P2,边界,DeviceController#getDeviceList,
DEV_API_011,设备管理,设备绑定,实施操作员,已登录，有设备ID和门店ID,设备绑定-正常流程,"POST /device/bind {deviceId:""DEV001"",storeId:""STORE001""}",返回200，绑定成功，设备状态变为在线,P0,功能,DeviceController#bindDevice,
DEV_API_012,设备管理,设备绑定,实施操作员,已登录,设备绑定-参数缺失,"POST /device/bind {deviceId:""DEV001""}",返回400，提示storeId必填,P0,边界,DeviceController#bindDevice,
DEV_API_013,设备管理,设备绑定,实施操作员,设备已被绑定,设备绑定-重复绑定,"POST /device/bind {deviceId:""BOUND_DEV"",storeId:""STORE001""}",返回400，提示设备已被绑定,P0,异常,DeviceController#bindDevice,
DEV_API_014,设备管理,设备绑定,实施操作员,已登录,设备绑定-设备ID不存在,"POST /device/bind {deviceId:""NOT_EXIST"",storeId:""STORE001""}",返回404，提示设备不存在,P1,异常,DeviceController#bindDevice,
DEV_API_015,设备管理,设备绑定,实施操作员,已登录,设备绑定-门店ID不存在,"POST /device/bind {deviceId:""DEV001"",storeId:""NOT_EXIST""}",返回404，提示门店不存在,P1,异常,DeviceController#bindDevice,
DEV_API_016,设备管理,设备绑定,实施操作员,两个操作员同时操作,设备绑定-并发冲突,同时POST /device/bind相同deviceId,只有一个成功，另一个返回冲突错误,P1,异常,DeviceController#bindDevice,
DEV_API_017,设备管理,设备绑定,实施操作员,已登录,设备绑定-设备类型校验,"POST /device/bind {deviceId:""DEV001"",storeId:""STORE001"",deviceType:""invalid""}",返回400，提示设备类型不支持,P1,边界,DeviceController#bindDevice,
DEV_API_018,设备管理,设备绑定,实施操作员,已登录,设备绑定-设备名称过长,"POST /device/bind {deviceId:""DEV001"",deviceName:""超过50字符的设备名称...""}",返回400，提示设备名称过长,P2,边界,DeviceController#bindDevice,
DEV_API_019,设备管理,设备绑定,门店店长,已登录,设备绑定-权限校验,"POST /device/bind {deviceId:""DEV001"",storeId:""OTHER_STORE""}",返回403，提示无权限绑定到其他门店,P0,权限,DeviceController#bindDevice,
